task_id,homology_config_id,seed,cluster_id,total_count,positive_count,negative_count,mixed_label_cluster,partition
amp_vs_without_amp_evidence,H50,2,H50_e3af8574e5b6124d,500,500,0,0,test
amp_vs_without_amp_evidence,H50,2,H50_f41d60be7419ffeb,353,283,70,1,test
amp_vs_without_amp_evidence,H50,2,H50_ec5e4012876a9db8,327,324,3,1,test
amp_vs_without_amp_evidence,H50,2,H50_8c432091469fdaa7,251,224,27,1,validation
amp_vs_without_amp_evidence,H50,2,H50_0617fe88b76d731c,223,223,0,0,validation
amp_vs_without_amp_evidence,H50,2,H50_353a773129523bf8,223,223,0,0,validation
amp_vs_without_amp_evidence,H50,2,H50_4d8c23715bf17240,192,192,0,0,validation
amp_vs_without_amp_evidence,H50,2,H50_0c3b411fee944b48,192,192,0,0,test
amp_vs_without_amp_evidence,H50,2,H50_b79bb2ff6332de88,181,181,0,0,validation
amp_vs_without_amp_evidence,H50,2,H50_6380c09cd5aed4e0,173,172,1,1,test
amp_vs_without_amp_evidence,H50,2,H50_84def52a2901e97d,165,165,0,0,test
amp_vs_without_amp_evidence,H50,2,H50_c9296e3b1b625b9f,145,0,145,0,validation
amp_vs_without_amp_evidence,H50,2,H50_33d717924447c27d,136,0,136,0,test
amp_vs_without_amp_evidence,H50,2,H50_c7e706fbeeb48016,132,0,132,0,validation
amp_vs_without_amp_evidence,H50,2,H50_ff8d4d770e1b8c73,128,0,128,0,validation
amp_vs_without_amp_evidence,H50,2,H50_abf847f3433ce5b4,123,123,0,0,validation
amp_vs_without_amp_evidence,H50,2,H50_4b31eacdb779f33f,117,0,117,0,test
amp_vs_without_amp_evidence,H50,2,H50_df3d0b8ff0c43bfa,115,0,115,0,validation
amp_vs_without_amp_evidence,H50,2,H50_e80b13321d280475,113,113,0,0,test
amp_vs_without_amp_evidence,H50,2,H50_b9d64b8ef86380b4,111,111,0,0,validation
amp_vs_without_amp_evidence,H50,2,H50_16e2f16c43bc4d4d,107,107,0,0,validation
