task_id,homology_config_id,minimum_sequence_identity,minimum_coverage,cluster_id,cluster_hash_sha256,representative_sequence_id,cluster_size,positive_count,negative_count,positive_fraction,mixed_label_cluster,minimum_length,maximum_length,median_length
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_d8e1beaf518374ea,d8e1beaf518374ea7b91f50d8e9c6d35c0aae1a83fd39b5bbddf15f57bc46e2d,d8bed0368c58d99afa7a3ea03dd651c3414f64c116b569f1f6c6c20cac8c32c3,615,615,0,1.0,0,57,80,70.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_8c35daf38ed6d9aa,8c35daf38ed6d9aaf400cf0699d99eb600ef2519454819b445b3dae13223061d,4a5d165f9d4af90234bdacae9c3c997f0b71c63ca0ee477007442b7876cd2ba1,328,328,0,1.0,0,17,25,24.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_e05b2d4fc6abb6bd,e05b2d4fc6abb6bd61f68ace6d432aa43a3c649fb08cd2b7e5e91b43d648a59c,275acd3927c5270e963c208f333255eddef501cab1acb5027c4b13be4b22ac5e,324,299,25,0.9228395061728395,1,26,33,30.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_1a58b665c4ac304d,1a58b665c4ac304dfcdfb5cf5b2a549746b20fc9efda416c40b6c545b97d2510,e5a6b259dca32f0c746f19596cf8590cb6b5c8ff12d9482e51ba541e847cabf2,302,0,302,0.0,0,58,75,62.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_699184e4ad2851ae,699184e4ad2851ae88472e65ae57f12008cb405e281d405ebcf39bea03688907,0a285c0f8089a035d94d600e45ae0925c9f1ba9ce94e915526036b9b23c73a75,244,244,0,1.0,0,29,35,33.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_2131f7707688b646,2131f7707688b64628af00b16d44df340bf57a7fb9d6526a48448a5a31ce0ada,952c5c97cd14f20eca39a3360c935176164166fff2fd4ca592fd792d5dad8f17,234,228,6,0.9743589743589743,1,25,33,29.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_1024f308cbc72728,1024f308cbc727284e817f59a7db954bfadcb755b5dae795416ed9fe62ad7889,dcd4ee62b27669a3a8c831b2c75d2e686e42528452f38e45dd90adf9d6b0517f,227,10,217,0.04405286343612335,1,59,70,64.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_39842a67481bb9bb,39842a67481bb9bb652f61c599f68ba6d1e3c6521bdfef7905c84087f53623b8,e2e284ff3473e603c2d9926a776db3fbe8bde04a63f014c4819de4f9805bcd69,196,196,0,1.0,0,41,57,49.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_1c66a7c86fe1d5f7,1c66a7c86fe1d5f77e60910de884f84d033ff12eef17b665b4eb2fffe74dcd89,3d95a71fd8a55991daf0bcb01cd5a422f3cf7b9dd583cfdedf395ce115209963,195,195,0,1.0,0,19,24,21.0
amp_vs_toxic_without_amp_evidence,H30,0.3,0.9,H30_7032263b60e7964b,7032263b60e7964b68dfc72d65c2e037bf590fddb454b0acf4ec67d5c7e09a26,acf7b68750834dd012fbdd4fc7efcb96315aaa6f61a459b27fdfdf4eb3236773,192,192,0,1.0,0,134,148,144.0
