task_id,homology_config_id,seed,cluster_id,total_count,positive_count,negative_count,mixed_label_cluster,partition
amp_vs_toxic_without_amp_evidence,H90,0,H90_868a5d10b6575f85,181,181,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_1ccbd3149a4f4cc7,151,151,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_efac609a54fc4436,128,0,128,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_a37455ecc72773c2,123,123,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_8a1dfb5fbfb866a3,76,75,1,1,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_2b0ee791539150a3,74,74,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_c60fd5ff8d28afde,73,73,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_510c0b3460b8a22e,73,73,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_e2bb3bf686dae2dd,66,66,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_455236b96733da34,65,65,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_f121c73acc580510,62,0,62,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_f2a1536cb09029b8,62,62,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_36a22d8599697bc5,62,62,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_16eefdc9fa8048b2,62,62,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_0da3f877a7bf64ca,55,55,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_f00d92f3b8eeb655,53,53,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_d75aadea221adc13,52,52,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_1273a0af08762670,51,51,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_472be1182e249d9a,51,51,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_f7ee755e324fce5b,50,50,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_9bf800302b0c7c39,50,50,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_344086c8f7af9b9e,49,49,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_4df4cfc32e249991,47,47,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_00c4fc17d64ffc73,46,46,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_01ba35ee74e21bbe,46,46,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_5aae3fff6fcca45a,44,44,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_94ca6edd6c42d217,44,0,44,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_12d142363187b2ee,44,44,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_739c064591373587,44,44,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_d4b8fe4ce1f8e4c7,44,44,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_6ca182f73dbc9f12,42,42,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_b0278800313ee031,41,41,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_fa7b6173e9e7c9e4,40,40,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_9b98bef797089852,39,0,39,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_fc9b01051748517c,37,0,37,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_dde28ecf33247508,36,36,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_a57bd253b2fb0f6b,36,36,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_03179e23cb950ed6,35,35,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_8293e419f84b57a9,35,35,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_cb8872d3437ac31f,35,35,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_614b8d1a6f215acf,35,35,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_a8b136f77dc02475,34,34,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_8272fcbd42e7bcfe,34,34,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_451c034fd2f414c8,33,33,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_e75219a9dc19c7e6,33,30,3,1,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_035fa4509938a228,32,32,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_00e8c6ec94c04a16,32,32,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_efbf2315aa625a1a,32,32,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_731e0e845d791c07,32,32,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_59dfe0f1173fc7ef,31,0,31,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_83d4f193ca5fb841,31,0,31,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_3304a86ef60e74cf,31,0,31,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_cf2441b380a46e81,31,31,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_cc4675d5342b7b8a,30,30,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_5820d2d09013d09c,30,0,30,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_9fb4e564c0fee943,29,29,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_408d429c83a63460,29,29,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_56009eaedf287eb0,28,28,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_311074d31bf049df,27,27,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_d8fa874fc1908afc,27,27,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_84016b93525571a4,27,27,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_361c3114e0f700cc,27,27,0,0,validation
amp_vs_toxic_without_amp_evidence,H90,0,H90_0c215c78eae53b5d,27,27,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_7ac788046ca7766a,26,26,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_b3757b76cbd00006,26,26,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_e265b5f398c63a73,26,7,19,1,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_c8265f59d1815bf9,25,25,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_f25768d608d0dbb9,25,25,0,0,test
amp_vs_toxic_without_amp_evidence,H90,0,H90_52212f695d0bd3e6,25,25,0,0,test
